IdRistorante;Username;Stelle;Testo;Risposta
LaCocinaDeSol;azzor;5;Tapas eccezionali e personale molto cordiale;
GoldenDragon;martiross;4;Ottima anatra alla pechinese, locale elegante;
LeBistroParisien;martiross;3;Cibo buono ma servizio un po’ lento;
BavarianBräuhaus;martiross;5;Miglior schnitzel di Monaco! Birra super;Danke für das Kompliment!
TacoLoco;azzor;4;Tacos al pastor spettacolari, prezzi onesti;
CurryPalace;martiross;5;Il pollo tikka masala migliore di Delhi;
AussieGrill;azzor;3;Panorama bellissimo, carne nella media;
NYBurgerJoint;martiross;4;Burger succoso e patatine croccanti;Grazie mille!
SakuraSushi;yuki;5;Sashimi freschissimo, esperienza autentica;
RioChurrasco;marco;4;Ottima picanha, buffet abbondante;
NordicSeafood;erik;5;Granchio reale sublime, vista sul fiordo splendida;
CapeTownGrill;mc;3;Carne buona, tempi d’attesa lunghi;
IstanbulMeze;fatma;4;Meze vari e gustosi, lokum finale offerto;
SeoulBibimbap;mc;5;Bibimbap perfetto, locale moderno e pulito;
CanadianLodge;azzor;4;Poutine gustosa, ottima selezione di birre artigianali;
ViennaKaffee;klara;5;Sacher e melange da manuale;Grazie di cuore!
AthensTaverna;mc;4;Moussaka ricca, atmosfera tradizionale;
BangkokSpice;azzor;5;Pad Thai autentico, porzioni abbondanti;
DubaiSkyDine;mc;4;Vista mozzafiato, prezzi alti ma giustificati;
HelsinkiHarbour;mc;3;Pesce fresco ma poca scelta vegetariana;
